x,y,z
-302,-356,270
-210,-369,235
-78,-247,300
-35,-189,335
-102,-150,377
-325,-298,337
-403,-381,300
-405,-460,280
-308,-415,284
-244,-384,282
-142,-344,299
-61,-338,305
-25,-345,299
62,-348,297
115,-341,301
189,-327,299
222,-337,279
222,-356,265
249,-347,274
333,-267,322
385,-189,332
428,-82,307
349,-120,230
311,-146,205
320,-128,163
378,-112,91
418,-111,56
450,-149,1
451,-147,-11
542,0,-3
615,113,-28
577,107,-30
361,-41,-54
321,-142,-59
443,-74,-58
475,2,-66
439,-31,-32
231,-200,-41
201,-233,-44
233,-114,-91
265,-7,-124
283,-25,-138
200,-85,-195
309,-125,-248
487,11,-267
419,196,-220
334,269,-159
145,279,-101
88,171,-172
122,118,-228
298,46,-304
352,62,-304
313,71,-299
242,38,-312
221,-2,-347
215,-25,-410
233,0,-424
244,102,-396
158,184,-311
90,195,-267
-23,140,-240
-26,118,-270
0,113,-302
41,109,-391
38,88,-414
10,38,-411
-8,14,-417
-45,-46,-456
-62,-71,-526
-59,-62,-551
-76,-87,-559
-119,-115,-513
-146,-133,-480
-183,-149,-446
-163,-95,-442
-172,-80,-431
-272,-100,-382
-408,-112,-291
-432,-116,-269
-406,-76,-239
-381,-34,-202
-380,-27,-184
-424,-62,-150
-482,-128,-121
-506,-146,-102
-521,-169,-42
-516,-162,71
-516,-142,126
-545,-85,203
-518,-61,234
-508,-96,230
-482,-215,195
-426,-299,121
-415,-310,113
-424,-275,189
-459,-221,333
-464,-196,384
-456,-155,394
-394,-161,359
-352,-176,366
-323,-273,405
-313,-390,397
-296,-415,380
-203,-383,354
-137,-244,419
-116,-176,451
-69,-82,453
-44,-60,353
-20,-68,288
60,-21,221
93,2,219
81,6,222
71,-20,202
92,-104,110
104,-137,63
132,-144,18
178,-127,22
178,-134,41
167,-145,75
160,-136,81
165,-68,39
165,-28,6
150,23,-5
105,12,13
77,-17,21
41,-68,13
38,-64,9
44,-23,9
43,-1,-1
44,15,-40
50,-5,-58
41,-44,-69
62,-48,-70
